datetime,open,high,low,close,volume
,SQQQ,SQQQ,SQQQ,SQQQ,SQQQ
2022-01-26,205.4499969482422,228.8000030517578,197.85000610351562,220.75,20689040
2022-01-27,212.25,230.14999389648438,208.75,228.0,16208700
2022-01-28,224.25,234.5,206.25,206.60000610351562,16079020
2022-01-31,204.10000610351562,207.10000610351562,185.75,186.89999389648438,13247040
2022-02-01,184.60000610351562,192.75,181.85000610351562,182.89999389648438,11504040
2022-02-02,176.5,184.8000030517578,176.10000610351562,178.5500030517578,15574840
2022-02-03,192.8000030517578,201.6999969482422,188.0,199.8000030517578,15474320
2022-02-04,199.14999389648438,202.75,186.64999389648438,192.75,15657720
2022-02-07,191.3000030517578,199.10000610351562,187.4499969482422,196.8000030517578,11044660
2022-02-08,199.0500030517578,200.89999389648438,188.5,190.39999389648438,13733040
2022-02-09,183.0,185.60000610351562,178.14999389648438,178.3000030517578,12793960
2022-02-10,188.75,193.0500030517578,178.60000610351562,190.14999389648438,24462340
2022-02-11,190.3000030517578,210.39999389648438,187.64999389648438,208.10000610351562,23597280
2022-02-14,209.60000610351562,214.14999389648438,201.39999389648438,207.60000610351562,22048020
2022-02-15,198.0,199.9499969482422,191.8000030517578,192.25,16286360
2022-02-16,195.75,201.0,190.64999389648438,192.39999389648438,16054500
2022-02-17,197.75,210.1999969482422,196.5500030517578,209.4499969482422,15629480
2022-02-18,207.75,221.0,207.0500030517578,216.4499969482422,23578680
2022-02-22,222.4499969482422,230.35000610351562,211.85000610351562,223.0,22564860
2022-02-23,216.85000610351562,240.9499969482422,215.10000610351562,240.0500030517578,21023700
2022-02-24,263.5,264.3500061035156,214.9499969482422,216.60000610351562,29670100
2022-02-25,214.5,222.0,205.64999389648438,205.85000610351562,17069140
2022-02-28,211.75,213.89999389648438,201.0,203.64999389648438,22543340
2022-03-01,205.9499969482422,217.89999389648438,201.89999389648438,213.25,22611500
2022-03-02,210.60000610351562,215.85000610351562,200.3000030517578,202.89999389648438,16394440
2022-03-03,197.9499969482422,214.6999969482422,197.75,211.35000610351562,17900280
2022-03-04,215.89999389648438,225.0,213.1999969482422,220.5500030517578,19287680
2022-03-07,220.5500030517578,245.4499969482422,218.3000030517578,245.0500030517578,20217320
2022-03-08,246.8000030517578,256.1000061035156,226.0,248.35000610351562,26503240
2022-03-09,229.0,235.14999389648438,218.39999389648438,221.8000030517578,17684140
2022-03-10,229.85000610351562,238.0,226.4499969482422,228.85000610351562,16014200
2022-03-11,222.6999969482422,244.14999389648438,221.9499969482422,242.6999969482422,14845460
2022-03-14,246.10000610351562,258.75,238.1999969482422,256.95001220703125,16521820
2022-03-15,250.64999389648438,254.5500030517578,231.0,233.1999969482422,18037280
2022-03-16,224.5,232.3000030517578,206.75,206.89999389648438,22819040
2022-03-17,210.5500030517578,212.9499969482422,199.5,199.60000610351562,14687740
2022-03-18,202.4499969482422,204.5,186.64999389648438,187.4499969482422,19858620
2022-03-21,188.5500030517578,195.89999389648438,184.89999389648438,188.6999969482422,20735360
2022-03-22,187.85000610351562,188.5,176.14999389648438,177.64999389648438,17161980
2022-03-23,182.0,185.25,176.5,185.14999389648438,20054740
2022-03-24,182.10000610351562,185.60000610351562,172.85000610351562,172.9499969482422,16509720
2022-03-25,173.10000610351562,179.6999969482422,171.4499969482422,173.25,19322860
2022-03-28,173.35000610351562,175.1999969482422,165.10000610351562,165.3000030517578,15985580
2022-03-29,159.89999389648438,163.64999389648438,155.85000610351562,156.85000610351562,17654960
2022-03-30,159.14999389648438,163.89999389648438,157.0,161.60000610351562,17493760
2022-03-31,161.75,169.0500030517578,161.25,168.35000610351562,17087580
2022-04-01,167.5500030517578,173.5,166.39999389648438,168.89999389648438,18046020
2022-04-04,167.6999969482422,168.10000610351562,158.5,158.5500030517578,11590160
2022-04-05,160.35000610351562,170.5,159.4499969482422,168.85000610351562,16008080
2022-04-06,176.6999969482422,183.85000610351562,175.10000610351562,179.89999389648438,24495160
2022-04-07,181.5500030517578,187.0500030517578,175.3000030517578,178.6999969482422,20502700
2022-04-08,181.4499969482422,187.1999969482422,180.3000030517578,186.0,17248420
2022-04-11,193.3000030517578,200.0,191.6999969482422,199.1999969482422,16874120
2022-04-12,190.85000610351562,204.5500030517578,187.5500030517578,201.9499969482422,22069840
2022-04-13,201.4499969482422,202.75,187.85000610351562,189.8000030517578,15855140
2022-04-14,189.5500030517578,203.10000610351562,188.60000610351562,202.6999969482422,16269200
2022-04-18,204.64999389648438,207.5,198.0,201.89999389648438,17544180
2022-04-19,203.4499969482422,205.3000030517578,187.6999969482422,188.85000610351562,14939740
2022-04-20,187.25,199.0500030517578,186.60000610351562,197.1999969482422,17884080
2022-04-21,190.10000610351562,210.89999389648438,185.5,209.0,23153460
2022-04-22,209.0,226.5,206.60000610351562,225.6999969482422,24704180
2022-04-25,229.1999969482422,231.85000610351562,216.3000030517578,216.89999389648438,27106580
2022-04-26,221.10000610351562,242.0500030517578,220.75,241.0,25386080
2022-04-27,241.3000030517578,246.39999389648438,228.3000030517578,242.3000030517578,29149700
2022-04-28,230.60000610351562,240.5500030517578,212.25,216.75,28618700
2022-04-29,225.1999969482422,247.0500030517578,218.10000610351562,245.14999389648438,25077340
2022-05-02,246.8000030517578,254.35000610351562,233.0,233.1999969482422,32143900
2022-05-03,233.5,238.9499969482422,227.60000610351562,232.64999389648438,23830860
2022-05-04,231.64999389648438,243.5500030517578,207.64999389648438,208.9499969482422,32901560
2022-05-05,217.64999389648438,247.0500030517578,217.39999389648438,239.75,35047340
2022-05-06,245.5,258.95001220703125,235.85000610351562,249.0500030517578,40129020
2022-05-09,263.3500061035156,281.95001220703125,257.25,278.04998779296875,33023160
2022-05-10,257.79998779296875,280.1000061035156,254.39999389648438,268.25,37789260
2022-05-11,274.6000061035156,294.6000061035156,259.54998779296875,292.1499938964844,34907660
2022-05-12,305.54998779296875,313.04998779296875,280.45001220703125,293.79998779296875,35137260
